filename;start_time;end_time;orbit
C03/2022/01/S5p_SO2-COBRA_22090.nc;2022-01-17 10:19:27.538;2022-01-17 10:25:13.610;22090
C03/2022/01/S5p_SO2-COBRA_22091.nc;2022-01-17 12:00:48.323;2022-01-17 12:06:45.315;22091
C03/2022/01/S5p_SO2-COBRA_22092.nc;2022-01-17 13:42:18.349;2022-01-17 13:48:15.341;22092
C03/2022/01/S5p_SO2-COBRA_22093.nc;2022-01-17 15:23:47.534;2022-01-17 15:27:41.049;22093
C03/2022/01/S5p_SO2-COBRA_22104.nc;2022-01-18 10:00:42.769;2022-01-18 10:06:17.081;22104
C03/2022/01/S5p_SO2-COBRA_22105.nc;2022-01-18 11:41:46.514;2022-01-18 11:47:46.866;22105
C03/2022/01/S5p_SO2-COBRA_22106.nc;2022-01-18 13:23:16.059;2022-01-18 13:29:17.251;22106
C03/2022/01/S5p_SO2-COBRA_22107.nc;2022-01-18 15:04:46.085;2022-01-18 15:09:08.999;22107
C03/2022/01/S5p_SO2-COBRA_22118.nc;2022-01-19 09:42:04.717;2022-01-19 09:47:18.870;22118
C03/2022/01/S5p_SO2-COBRA_22119.nc;2022-01-19 11:22:45.183;2022-01-19 11:28:48.895;22119
C03/2022/01/S5p_SO2-COBRA_22120.nc;2022-01-19 13:04:15.208;2022-01-19 13:10:18.920;22120
C03/2022/01/S5p_SO2-COBRA_22121.nc;2022-01-19 14:45:44.994;2022-01-19 14:50:33.947;22121
C03/2022/01/S5p_SO2-COBRA_22132.nc;2022-01-20 09:23:33.385;2022-01-20 09:28:20.659;22132
C03/2022/01/S5p_SO2-COBRA_22133.nc;2022-01-20 11:03:43.252;2022-01-20 11:09:51.164;22133
C03/2022/01/S5p_SO2-COBRA_22134.nc;2022-01-20 12:45:13.277;2022-01-20 12:51:21.189;22134
C03/2022/01/S5p_SO2-COBRA_22135.nc;2022-01-20 14:26:43.302;2022-01-20 14:31:58.295;22135
C03/2022/01/S5p_SO2-COBRA_22146.nc;2022-01-21 09:06:08.092;2022-01-21 09:09:17.088;22146
C03/2022/01/S5p_SO2-COBRA_22147.nc;2022-01-21 10:44:42.682;2022-01-21 10:50:53.113;22147
C03/2022/01/S5p_SO2-COBRA_22148.nc;2022-01-21 12:26:11.267;2022-01-21 12:32:07.419;22148
C03/2022/01/S5p_SO2-COBRA_22149.nc;2022-01-21 14:07:41.292;2022-01-21 14:13:29.884;22149
C03/2022/01/S5p_SO2-COBRA_22150.nc;2022-01-21 15:49:11.317;2022-01-21 15:52:48.872;22150
C03/2022/01/S5p_SO2-COBRA_22160.nc;2022-01-22 08:49:42.398;2022-01-22 08:50:08.438;22160
C03/2022/01/S5p_SO2-COBRA_22161.nc;2022-01-22 10:25:46.511;2022-01-22 10:31:55.262;22161
C03/2022/01/S5p_SO2-COBRA_22162.nc;2022-01-22 12:07:09.816;2022-01-22 12:13:23.607;22162
